Image,Angle
capture_10.jpg,22.16634582208246
capture_11.jpg,22.416147479343643
capture_12.jpg,22.275897848258975
capture_13.jpg,21.682291613244935
capture_14.jpg,21.44773632710535
capture_15.jpg,21.083754582380646
capture_16.jpg,21.44773632710535
capture_17.jpg,21.44773632710535
capture_18.jpg,22.16634582208246
capture_19.jpg,21.921778593959143
capture_20.jpg,21.083754582380646
capture_21.jpg,21.083754582380646
capture_22.jpg,21.083754582380646
capture_23.jpg,21.083754582380646
capture_24.jpg,21.682291613244935
capture_25.jpg,21.80140948635181
capture_26.jpg,21.083754582380646
capture_27.jpg,22.275897848258975
capture_28.jpg,21.921778593959143
capture_29.jpg,20.854458039578347
capture_3.jpg,21.083754582380646
capture_30.jpg,21.921778593959143
capture_31.jpg,21.682291613244935
capture_32.jpg,21.921778593959143
capture_33.jpg,21.921778593959143
capture_34.jpg,21.083754582380646
capture_35.jpg,21.083754582380646
capture_36.jpg,22.770378908762215
capture_37.jpg,21.083754582380646
capture_38.jpg,21.083754582380646
capture_39.jpg,21.083754582380646
capture_4.jpg,21.083754582380646
capture_40.jpg,21.921778593959143
capture_41.jpg,21.083754582380646
capture_42.jpg,20.854458039578347
capture_43.jpg,20.854458039578347
capture_44.jpg,21.083754582380646
capture_45.jpg,21.083754582380646
capture_46.jpg,21.682291613244935
capture_47.jpg,21.921778593959143
capture_48.jpg,21.921778593959143
capture_49.jpg,20.256462174523122
capture_5.jpg,21.083754582380646
capture_50.jpg,21.921778593959143
capture_51.jpg,22.932100437589785
capture_52.jpg,21.083754582380646
capture_53.jpg,20.854458039578347
capture_54.jpg,22.671343621980853
capture_55.jpg,23.286064918223566
capture_56.jpg,20.48035731180924
capture_57.jpg,22.932100437589785
capture_58.jpg,21.083754582380646
capture_59.jpg,20.48035731180924
capture_6.jpg,21.083754582380646
capture_60.jpg,21.083754582380646
capture_61.jpg,20.256462174523122
capture_62.jpg,20.48035731180924
capture_63.jpg,21.083754582380646
capture_64.jpg,21.083754582380646
capture_65.jpg,22.932100437589785
capture_66.jpg,21.083754582380646
capture_67.jpg,21.083754582380646
capture_68.jpg,22.932100437589785
capture_69.jpg,21.083754582380646
capture_7.jpg,23.286064918223566
capture_70.jpg,22.275897848258975
